start_at,end_at,clip_id,subject_id,trial_id,valence,arousal,dominance,liking,baseline_id
384,512,s30.dat_1,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
512,640,s30.dat_2,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
640,768,s30.dat_3,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
768,896,s30.dat_4,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
896,1024,s30.dat_5,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
1024,1152,s30.dat_6,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
1152,1280,s30.dat_7,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
1280,1408,s30.dat_8,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
1408,1536,s30.dat_9,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
1536,1664,s30.dat_10,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
1664,1792,s30.dat_11,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
1792,1920,s30.dat_12,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
1920,2048,s30.dat_13,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
2048,2176,s30.dat_14,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
2176,2304,s30.dat_15,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
2304,2432,s30.dat_16,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
2432,2560,s30.dat_17,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
2560,2688,s30.dat_18,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
2688,2816,s30.dat_19,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
2816,2944,s30.dat_20,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
2944,3072,s30.dat_21,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
3072,3200,s30.dat_22,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
3200,3328,s30.dat_23,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
3328,3456,s30.dat_24,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
3456,3584,s30.dat_25,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
3584,3712,s30.dat_26,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
3712,3840,s30.dat_27,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
3840,3968,s30.dat_28,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
3968,4096,s30.dat_29,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
4096,4224,s30.dat_30,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
4224,4352,s30.dat_31,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
4352,4480,s30.dat_32,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
4480,4608,s30.dat_33,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
4608,4736,s30.dat_34,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
4736,4864,s30.dat_35,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
4864,4992,s30.dat_36,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
4992,5120,s30.dat_37,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
5120,5248,s30.dat_38,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
5248,5376,s30.dat_39,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
5376,5504,s30.dat_40,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
5504,5632,s30.dat_41,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
5632,5760,s30.dat_42,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
5760,5888,s30.dat_43,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
5888,6016,s30.dat_44,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
6016,6144,s30.dat_45,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
6144,6272,s30.dat_46,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
6272,6400,s30.dat_47,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
6400,6528,s30.dat_48,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
6528,6656,s30.dat_49,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
6656,6784,s30.dat_50,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
6784,6912,s30.dat_51,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
6912,7040,s30.dat_52,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
7040,7168,s30.dat_53,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
7168,7296,s30.dat_54,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
7296,7424,s30.dat_55,s30.dat,0,5.04,5.04,5.04,5.04,s30.dat_0
